Block ID,Instructions,Left Operands,Right Operands,Instruction Entropy,Left Operand Entropy,Right Operand Entropy
1,"push,mov,lea,call,pop,ret,nopl","%rbp,%rsp,0x5f0e(%rip),2170 <_ZNSt8ios_base4InitC1Ev@plt>,0x5df1(%rip),0x5efb(%rip),0x5ee3(%rip),20e0 <__cxa_atexit@plt>,,0x0(%rax)",",%rbp,%rdi,%rsi,%rdx",2.663532754804255,3.277613436819116,1.8676338909712122
10,"push,mov,sub,call,add,pop,ret,nopl","%rbp,%rsp,$0x10,%rdi,-0x8(%rbp),2c30 <_ZNSt6vectorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EEC2Ev>,,0x0(%rax,%rax, 1)",",%rbp,%rsp,-0x8(%rbp),%rdi",2.8464393446710154,2.9219280948873627,1.9609640474436811
100,"push,mov,sub,call,lea,jmp,add,pop,ret,xchg","%rbp,%rsp,$0x60,%rdi,%rsi,-0x8(%rbp),%rax,-0x10(%rbp),3740 <_ZNKSt6vectorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EE4sizeEv>,3800 <_ZNKSt12_Vector_baseINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EE19_M_get_Tp_allocatorEv>,-0x18(%rbp),3ff0 <_ZN9__gnu_cxx14__alloc_traitsISaINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEES6_E17_S_select_on_copyERKS7_>,-0x50(%rbp),-0x48(%rbp),-0x40(%rbp),4020 <_ZNSt12_Vector_baseINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EEC2EmRKS6_>,3f54 <_ZNSt6vectorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EEC2ERKS7_+0x54>,4080 <_ZNSaINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEED2Ev>,40e0 <_ZNKSt6vectorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EE5beginEv>,4110 <_ZNKSt6vectorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EE3endEv>,(%rdi),2da0 <_ZNSt12_Vector_baseINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EE19_M_get_Tp_allocatorEv>,-0x60(%rbp),-0x30(%rbp),-0x38(%rbp),40a0 <_ZSt22__uninitialized_copy_aIN9__gnu_cxx17__normal_iteratorIPKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt6vectorIS7_SaIS7_EEEEPS7_S7_ET0_T_SG_SF_RSaIT1_E>,3fa4 <_ZNSt6vectorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EEC2ERKS7_+0xa4>,-0x58(%rbp),%rcx,,%edx,%eax,3fe5 <_ZNSt6vectorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EEC2ERKS7_+0xe5>,2db0 <_ZNSt12_Vector_baseINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EED2Ev>,-0x20(%rbp),21b0 <_Unwind_Resume@plt>,%ax",",%rbp,%rsp,-0x8(%rbp),-0x10(%rbp),%rax,-0x50(%rbp),%rdi,-0x48(%rbp),%rsi,-0x40(%rbp),%rdx,-0x30(%rbp),-0x38(%rbp),-0x60(%rbp),%rcx,-0x58(%rbp),0x8(%rax),%eax,-0x20(%rbp),-0x24(%rbp),%ax",1.8904774309701484,4.813405085335252,3.6060031645974795
101,"push,mov,sub,call,add,pop,ret,nopl","%rbp,%rsp,$0x20,%rdi,%rax,%rsi,-0x10(%rbp),4140 <_ZNSt16allocator_traitsISaINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEEE37select_on_container_copy_constructionERKS6_>,-0x18(%rbp),,(%rax)",",%rbp,%rsp,%rax,-0x18(%rbp),-0x8(%rbp),-0x10(%rbp),%rsi",2.3068905956085186,3.3735572622751855,2.682588730501833
102,"push,mov,sub,call,jmp,add,pop,ret,nopl","%rbp,%rsp,$0x30,%rdi,%rsi,%rdx,-0x8(%rbp),-0x18(%rbp),41b0 <_ZNSt12_Vector_baseINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EE12_Vector_implC2ERKS6_>,-0x30(%rbp),-0x10(%rbp),41e0 <_ZNSt12_Vector_baseINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EE17_M_create_storageEm>,4057 <_ZNSt12_Vector_baseINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EEC2EmRKS6_+0x37>,,%rax,%edx,%rcx,%eax,2f10 <_ZNSt12_Vector_baseINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESaIS5_EE12_Vector_implD2Ev>,-0x20(%rbp),21b0 <_Unwind_Resume@plt>,0x0(%rax,%rax, 1)",",%rbp,%rsp,-0x8(%rbp),-0x10(%rbp),-0x18(%rbp),%rdi,-0x30(%rbp),%rsi,%rcx,%eax,-0x20(%rbp),-0x24(%rbp)",2.1387720668284853,4.392747410448787,3.141619525334138
103,"push,mov,sub,call,add,pop,ret,nopl","%rbp,%rsp,$0x10,%rdi,-0x8(%rbp),2f90 <_ZN9__gnu_cxx13new_allocatorINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEED2Ev>,,0x0(%rax,%rax, 1)",",%rbp,%rsp,-0x8(%rbp),%rdi",2.8464393446710154,2.9219280948873627,1.9609640474436811
104,"push,mov,sub,call,add,pop,ret,nop","%rbp,%rsp,$0x30,%rdi,%rsi,%rdx,%rcx,-0x8(%rbp),%rax,-0x10(%rbp),-0x18(%rbp),-0x28(%rbp),-0x30(%rbp),4230 <_ZSt18uninitialized_copyIN9__gnu_cxx17__normal_iteratorIPKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt6vectorIS7_SaIS7_EEEEPS7_ET0_T_SG_SF_>,",",%rbp,%rsp,-0x8(%rbp),-0x10(%rbp),-0x18(%rbp),-0x20(%rbp),%rax,-0x28(%rbp),-0x30(%rbp),%rdx,%rdi,%rsi",1.9837406708828553,3.826874881864638,3.4263674884732267
105,"push,mov,sub,lea,call,add,pop,ret,cs nopw,nopl","%rbp,%rsp,$0x10,%rdi,-0x10(%rbp),-0x8(%rbp),4440 <_ZN9__gnu_cxx17__normal_iteratorIPKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt6vectorIS6_SaIS6_EEEC2ERKS8_>,,0x0(%rax,%rax, 1),(%rax)",",%rbp,%rsp,-0x10(%rbp),%rsi,%rdi,%rax",3.0850551027564777,3.238901256602631,2.353533948577482
106,"push,mov,sub,add,lea,call,pop,ret,nopw","%rbp,%rsp,$0x10,%rdi,-0x10(%rbp),$0x8,-0x8(%rbp),4440 <_ZN9__gnu_cxx17__normal_iteratorIPKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEESt6vectorIS6_SaIS6_EEEC2ERKS8_>,,0x0(%rax,%rax, 1)",",%rbp,%rsp,-0x10(%rbp),%rsi,%rdi,%rax",2.931208948910323,3.238901256602631,2.499698143184415
107,"push,mov,sub,call,add,pop,ret,nopl","%rbp,%rsp,$0x20,%rdi,%rax,%rsi,-0x10(%rbp),4170 <_ZNSaINSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEEC2ERKS5_>,-0x18(%rbp),,(%rax)",",%rbp,%rsp,%rax,-0x18(%rbp),-0x8(%rbp),-0x10(%rbp),%rsi",2.3068905956085186,3.3735572622751855,2.682588730501833
