Block_ID,Cluster
1,2
2,1
3,1
4,1
5,2
6,2
7,1
8,1
9,4
10,4
11,4
12,2
13,2
14,4
15,4
16,2
17,2
18,4
19,4
20,2
21,2
22,4
23,4
24,4
25,2
26,4
27,4
28,4
29,2
30,3
31,4
32,4
33,4
34,4
35,2
36,3
37,2
38,4
39,3
40,2
41,1
42,4
43,4
44,4
45,3
46,4
47,4
48,4
49,4
50,3
51,4
52,3
53,2
54,4
55,4
56,4
57,3
58,4
59,4
60,4
61,4
62,4
63,3
64,4
65,2
66,4
67,3
68,2
69,4
70,4
71,4
72,3
73,4
74,4
75,4
76,4
77,4
78,3
79,4
80,4
81,4
82,3
83,4
84,4
85,4
86,4
87,2
88,3
89,2
90,4
91,3
92,4
93,3
94,4
95,4
96,2
97,4
98,3
99,4
100,2
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,3
110,4
111,4
112,4
113,2
114,4
115,4
116,4
117,4
118,3
119,4
120,2
121,4
122,4
123,4
124,3
125,4
126,4
127,4
128,4
129,3
130,4
131,4
132,3
133,4
134,4
135,4
136,4
137,2
138,3
139,2
140,4
141,3
142,4
143,3
144,4
145,4
146,4
147,2
148,3
149,2
150,4
151,4
152,4
