Block_ID,Cluster
1,48
2,46
3,44
4,3
5,45
6,47
7,1
8,40
9,6
10,6
11,13
12,39
13,32
14,6
15,6
16,4
17,26
18,17
19,6
20,4
21,26
22,17
23,12
24,12
25,29
26,6
27,5
28,6
29,43
30,11
31,6
32,6
33,5
34,6
35,43
36,11
37,29
38,9
39,10
40,28
41,2
42,6
43,14
44,6
45,10
46,8
47,6
48,9
49,9
50,11
51,9
52,10
53,28
54,6
55,14
56,6
57,10
58,8
59,6
60,9
61,9
62,6
63,11
64,25
65,36
66,20
67,10
68,37
69,15
70,22
71,7
72,10
73,6
74,5
75,18
76,15
77,31
78,10
79,6
80,15
81,6
82,10
83,6
84,31
85,7
86,27
87,33
88,10
89,37
90,25
91,10
92,20
93,10
94,6
95,25
96,36
97,20
98,10
99,6
100,34
101,23
102,30
103,6
104,24
105,6
106,4
107,23
108,6
109,11
110,21
111,41
112,24
113,38
114,26
115,20
116,17
117,12
118,10
119,12
120,37
121,15
122,22
123,7
124,10
125,6
126,5
127,19
128,26
129,10
130,6
131,6
132,10
133,6
134,16
135,7
136,27
137,33
138,10
139,37
140,25
141,10
142,20
143,10
144,6
145,6
146,6
147,35
148,10
149,42
150,6
151,12
152,12
