Block_ID,Type,Assembly,Probability,Entropy
1,Left Operand,%rbp,0.18181818181818182,0.44716938520678134
1,Instruction,lea,0.2727272727272727,0.5112188503407658
1,Right Operand,%rdi,0.18181818181818182,0.44716938520678134
2,Instruction,push,0.16666666666666666,0.430827083453526
2,Left Operand,%rbp,0.3333333333333333,0.5283208335737187
2,Instruction,mov,0.16666666666666666,0.430827083453526
2,Right Operand,%rbp,0.16666666666666666,0.430827083453526
2,Instruction,call,0.16666666666666666,0.430827083453526
2,Instruction,pop,0.16666666666666666,0.430827083453526
2,Instruction,ret,0.16666666666666666,0.430827083453526
2,Instruction,nopl,0.16666666666666666,0.430827083453526
3,Instruction,xor,0.2,0.46438561897747244
3,Right Operand,%ebp,0.06666666666666667,0.26045937304056793
3,Instruction,mov,0.13333333333333333,0.3875854127478025
3,Right Operand,%r9,0.06666666666666667,0.26045937304056793
3,Left Operand,%rsp,0.13333333333333333,0.3875854127478025
3,Right Operand,%rdx,0.06666666666666667,0.26045937304056793
3,Right Operand,%rsp,0.06666666666666667,0.26045937304056793
3,Instruction,push,0.13333333333333333,0.3875854127478025
3,Right Operand,%r8d,0.06666666666666667,0.26045937304056793
3,Right Operand,%ecx,0.06666666666666667,0.26045937304056793
3,Right Operand,%rdi,0.06666666666666667,0.26045937304056793
4,Instruction,lea,0.18181818181818182,0.44716938520678134
4,Right Operand,%rax,0.36363636363636365,0.530702406777199
4,Instruction,je,0.18181818181818182,0.44716938520678134
4,Left Operand,1158<deregister_tm_clones+0x28>,0.18181818181818182,0.44716938520678134
4,Instruction,nopl,0.18181818181818182,0.44716938520678134
4,Left Operand,0x0(%rax),0.18181818181818182,0.44716938520678134
5,Instruction,lea,0.125,0.375
5,Instruction,mov,0.125,0.375
5,Left Operand,%rsi,0.125,0.375
5,Instruction,sar,0.125,0.375
5,Left Operand,%rax,0.125,0.375
5,Instruction,je,0.125,0.375
5,Left Operand,1198<register_tm_clones+0x38>,0.125,0.375
6,Left Operand,$0x0,0.11764705882352941,0.36323092250003997
6,Left Operand,%rbp,0.11764705882352941,0.36323092250003997
6,Instruction,mov,0.11764705882352941,0.36323092250003997
6,Instruction,call,0.11764705882352941,0.36323092250003997
6,Instruction,ret,0.11764705882352941,0.36323092250003997
6,Instruction,nopl,0.11764705882352941,0.36323092250003997
7,Instruction,endbr64,0.3333333333333333,0.5283208335737187
7,Instruction,jmp,0.3333333333333333,0.5283208335737187
7,Left Operand,1160<register_tm_clones>,0.3333333333333333,0.5283208335737187
7,Instruction,nopl,0.3333333333333333,0.5283208335737187
7,Left Operand,0x0(%rax),0.3333333333333333,0.5283208335737187
8,Instruction,mov,0.3835616438356164,0.5302623264524324
8,Left Operand,$0x0,0.0547945205479452,0.22957942788383656
8,Left Operand,-0x18(%rbp),0.0821917808219178,0.2962900321774406
8,Right Operand,%rdi,0.136986301369863,0.3928625293140623
8,Instruction,call,0.136986301369863,0.3928625293140623
8,Right Operand,%eax,0.136986301369863,0.3928625293140623
8,Instruction,jmp,0.1506849315068493,0.41142907318725913
8,Left Operand,%eax,0.0684931506849315,0.26492441534196265
8,Left Operand,%rax,0.0410958904109589,0.18924090649967923
8,Left Operand,-0x30(%rbp),0.0410958904109589,0.18924090649967923
9,Instruction,mov,0.5357142857142857,0.48239160345486726
9,Right Operand,%rax,0.14285714285714285,0.40105070315108626
9,Left Operand,%rax,0.14285714285714285,0.40105070315108626
9,Right Operand,%ecx,0.10714285714285714,0.3452563308574766
10,Left Operand,%rbp,0.06896551724137931,0.2660676548363843
10,Instruction,mov,0.5172413793103449,0.4919433100960622
10,Left Operand,$0x20,0.06896551724137931,0.2660676548363843
10,Right Operand,%rsp,0.06896551724137931,0.2660676548363843
10,Right Operand,%rcx,0.06896551724137931,0.2660676548363843
10,Right Operand,%eax,0.06896551724137931,0.2660676548363843
10,Left Operand,-0x18(%rbp),0.06896551724137931,0.2660676548363843
10,Right Operand,%esi,0.06896551724137931,0.2660676548363843
10,Left Operand,$0x1,0.06896551724137931,0.2660676548363843
10,Left Operand,%ecx,0.06896551724137931,0.2660676548363843
10,Right Operand,%edi,0.06896551724137931,0.2660676548363843
10,Left Operand,(%rax),0.06896551724137931,0.2660676548363843
11,Left Operand,%rbp,0.2222222222222222,0.48220555587606945
11,Instruction,mov,0.4444444444444444,0.5199666673076944
11,Right Operand,%rbp,0.1111111111111111,0.3522138890491458
11,Right Operand,-0x8(%rbp),0.1111111111111111,0.3522138890491458
11,Right Operand,%rax,0.1111111111111111,0.3522138890491458
11,Right Operand,%eax,0.1111111111111111,0.3522138890491458
11,Left Operand,"0x0(%rax,%rax,1)",0.2222222222222222,0.48220555587606945
12,Left Operand,%rbp,0.16666666666666666,0.430827083453526
12,Instruction,mov,0.4166666666666667,0.5262643357640807
12,Right Operand,%rax,0.25,0.5
13,Left Operand,%rbp,0.14285714285714285,0.40105070315108626
13,Instruction,mov,0.42857142857142855,0.5238824662870492
13,Left Operand,$0x10,0.14285714285714285,0.40105070315108626
13,Right Operand,%rax,0.21428571428571427,0.4762269474292389
14,Instruction,mov,0.574468085106383,0.45940290291239483
14,Right Operand,%rax,0.2127659574468085,0.47503420357239895
14,Left Operand,%rax,0.10638297872340426,0.34390008050960374
14,Instruction,movslq,0.06382978723404255,0.2533804053802009
14,Left Operand,-0x28(%rbp),0.0851063829787234,0.30251820014277764
14,Right Operand,%rcx,0.0851063829787234,0.30251820014277764
14,Left Operand,-0x1c(%rbp),0.0851063829787234,0.30251820014277764
14,Right Operand,%eax,0.0851063829787234,0.30251820014277764
