Block_ID,Type,Assembly,Probability,Entropy
1,Left Operand,%rbp,0.18181818181818182,0.44716938520678134
1,Instruction,lea,0.2727272727272727,0.5112188503407658
1,Right Operand,%rdi,0.18181818181818182,0.44716938520678134
2,Instruction,push,0.16666666666666666,0.430827083453526
2,Left Operand,%rbp,0.3333333333333333,0.5283208335737187
2,Instruction,mov,0.16666666666666666,0.430827083453526
2,Right Operand,%rbp,0.16666666666666666,0.430827083453526
2,Instruction,call,0.16666666666666666,0.430827083453526
2,Instruction,pop,0.16666666666666666,0.430827083453526
2,Instruction,ret,0.16666666666666666,0.430827083453526
2,Instruction,nopl,0.16666666666666666,0.430827083453526
2,Right Operand, ,0.16666666666666666,0.430827083453526
3,Instruction,xor,0.2,0.46438561897747244
3,Right Operand,%ebp,0.06666666666666667,0.26045937304056793
3,Instruction,mov,0.13333333333333333,0.3875854127478025
3,Right Operand,%r9,0.06666666666666667,0.26045937304056793
3,Left Operand,%rsp,0.13333333333333333,0.3875854127478025
3,Right Operand,%rdx,0.06666666666666667,0.26045937304056793
3,Right Operand,%rsp,0.06666666666666667,0.26045937304056793
3,Instruction,push,0.13333333333333333,0.3875854127478025
3,Right Operand,%r8d,0.06666666666666667,0.26045937304056793
3,Right Operand,%ecx,0.06666666666666667,0.26045937304056793
3,Right Operand,%rdi,0.06666666666666667,0.26045937304056793
3,Right Operand,"0x0(%rax,%rax,1)",0.06666666666666667,0.26045937304056793
4,Instruction,lea,0.18181818181818182,0.44716938520678134
4,Right Operand,%rax,0.36363636363636365,0.530702406777199
4,Instruction,je,0.18181818181818182,0.44716938520678134
4,Left Operand,1148 <deregister_tm_clones+0x28>,0.18181818181818182,0.44716938520678134
4,Instruction,nopl,0.18181818181818182,0.44716938520678134
4,Left Operand,0x0(%rax),0.18181818181818182,0.44716938520678134
5,Instruction,lea,0.125,0.375
5,Instruction,mov,0.125,0.375
5,Left Operand,%rsi,0.125,0.375
5,Instruction,sar,0.125,0.375
5,Left Operand,%rax,0.125,0.375
5,Instruction,je,0.125,0.375
5,Left Operand,1188 <register_tm_clones+0x38>,0.125,0.375
6,Left Operand,$0x0,0.125,0.375
6,Right Operand,0x2ec5(%rip),0.0625,0.25
6,Left Operand,%rbp,0.125,0.375
6,Right Operand,0x2e12(%rip) ,0.0625,0.25
6,Instruction,mov,0.125,0.375
6,Right Operand,%rbp,0.0625,0.25
6,Right Operand,%rdi,0.0625,0.25
6,Instruction,call,0.125,0.375
6,Right Operand,0x2e9d(%rip) ,0.0625,0.25
6,Instruction,ret,0.125,0.375
6,Instruction,nopl,0.125,0.375
7,Instruction,endbr64,0.3333333333333333,0.5283208335737187
7,Instruction,jmp,0.3333333333333333,0.5283208335737187
7,Left Operand,1150 <register_tm_clones>,0.3333333333333333,0.5283208335737187
7,Instruction,nopl,0.3333333333333333,0.5283208335737187
7,Left Operand,0x0(%rax),0.3333333333333333,0.5283208335737187
8,Instruction,mov,0.3358208955223881,0.5286613748937641
8,Right Operand,%rdi,0.208955223880597,0.4719743247403337
8,Instruction,lea,0.11940298507462686,0.3661002018457042
8,Right Operand,%rsi,0.13432835820895522,0.389036980614017
8,Instruction,call,0.2462686567164179,0.4978801294498323
8,Left Operand,1050 <_ZStlsISt11char_traitsIcEERSt13basic_ostreamIcT_ES5_PKc@plt>,0.08955223880597014,0.3117426886331298
8,Left Operand,-0x10(%rbp),0.06716417910447761,0.2616826694114861
8,Left Operand,%rax,0.17164179104477612,0.43640392829266766
8,Left Operand,-0x18(%rbp),0.07462686567164178,0.27941500713212014
8,Instruction,movsd,0.09701492537313433,0.3265182323889317
8,Right Operand,%xmm0,0.11194029850746269,0.35364163375178215
8,Left Operand,1090 <_ZNSolsEd@plt>,0.08955223880597014,0.3117426886331298
8,Left Operand,1060 <_ZNSolsEPFRSoS_E@plt>,0.04477611940298507,0.20064746371954995
