Block_ID,Type,Value,Probability,Entropy
1,Instruction,ret,0.09090909090909091,2.6635327548042547
1,Instruction,nopl,0.09090909090909091,2.6635327548042547
1,Instruction,call,0.18181818181818182,2.6635327548042547
1,Instruction,push,0.09090909090909091,2.6635327548042547
1,Instruction,mov,0.18181818181818182,2.6635327548042547
1,Instruction,lea,0.2727272727272727,2.6635327548042547
1,Instruction,pop,0.09090909090909091,2.6635327548042547
1,Left Operand,,0.09090909090909091,3.277613436819116
1,Left Operand,0x2f31(%rip),0.09090909090909091,3.277613436819116
1,Left Operand,0x2f93(%rip),0.09090909090909091,3.277613436819116
1,Left Operand,%rsp,0.09090909090909091,3.277613436819116
1,Left Operand,1040 <__cxa_atexit@plt>,0.09090909090909091,3.277613436819116
1,Left Operand,0x0(%rax),0.09090909090909091,3.277613436819116
1,Left Operand,1080<_ZNSt8ios_base4InitC1Ev@plt>,0.09090909090909091,3.277613436819116
1,Left Operand,%rbp,0.18181818181818182,3.277613436819116
1,Left Operand,0x2fa6(%rip),0.09090909090909091,3.277613436819116
1,Left Operand,0x2f83(%rip),0.09090909090909091,3.277613436819116
1,Right Operand,,0.5454545454545454,1.867633890971212
1,Right Operand,%rdx,0.09090909090909091,1.867633890971212
1,Right Operand,%rbp,0.09090909090909091,1.867633890971212
1,Right Operand,%rsi,0.09090909090909091,1.867633890971212
1,Right Operand,%rdi,0.18181818181818182,1.867633890971212
2,Instruction,ret,0.16666666666666666,2.584962500721156
2,Instruction,nopl,0.16666666666666666,2.584962500721156
2,Instruction,call,0.16666666666666666,2.584962500721156
2,Instruction,push,0.16666666666666666,2.584962500721156
2,Instruction,mov,0.16666666666666666,2.584962500721156
2,Instruction,pop,0.16666666666666666,2.584962500721156
2,Left Operand,,0.16666666666666666,2.251629167387823
2,Left Operand,"0x0(%rax,%rax,1)",0.16666666666666666,2.251629167387823
2,Left Operand,%rsp,0.16666666666666666,2.251629167387823
2,Left Operand,%rbp,0.3333333333333333,2.251629167387823
2,Left Operand,10b0 <__cxx_global_var_init>,0.16666666666666666,2.251629167387823
2,Right Operand,,0.6666666666666666,1.2516291673878228
2,Right Operand, ,0.16666666666666666,1.2516291673878228
2,Right Operand,%rbp,0.16666666666666666,1.2516291673878228
3,Instruction,,0.06666666666666667,3.323231428797621
3,Instruction,endbr64,0.06666666666666667,3.323231428797621
3,Instruction,hlt,0.06666666666666667,3.323231428797621
3,Instruction,xor,0.2,3.323231428797621
3,Instruction,and,0.06666666666666667,3.323231428797621
3,Instruction,call,0.06666666666666667,3.323231428797621
3,Instruction,push,0.13333333333333333,3.323231428797621
3,Instruction,mov,0.13333333333333333,3.323231428797621
3,Instruction,lea,0.06666666666666667,3.323231428797621
3,Instruction,cs,0.06666666666666667,3.323231428797621
3,Instruction,pop,0.06666666666666667,3.323231428797621
3,Left Operand,,0.2,3.4565647621309536
3,Left Operand,%rsp,0.13333333333333333,3.4565647621309536
3,Left Operand,nopw,0.06666666666666667,3.4565647621309536
3,Left Operand,0xd1(%rip),0.06666666666666667,3.4565647621309536
3,Left Operand,%rdx,0.06666666666666667,3.4565647621309536
3,Left Operand,%rax,0.06666666666666667,3.4565647621309536
3,Left Operand,%r8d,0.06666666666666667,3.4565647621309536
3,Left Operand,%ecx,0.06666666666666667,3.4565647621309536
3,Left Operand,%rsi,0.06666666666666667,3.4565647621309536
3,Left Operand,$0xfffffffffffffff0,0.06666666666666667,3.4565647621309536
3,Left Operand,*0x2eb3(%rip),0.06666666666666667,3.4565647621309536
3,Left Operand,%ebp,0.06666666666666667,3.4565647621309536
3,Right Operand,,0.4666666666666667,2.5967916319816364
3,Right Operand,"0x0(%rax,%rax,1)",0.06666666666666667,2.5967916319816364
3,Right Operand,%r9,0.06666666666666667,2.5967916319816364
3,Right Operand,%rsp,0.06666666666666667,2.5967916319816364
3,Right Operand,%rdx,0.06666666666666667,2.5967916319816364
3,Right Operand,%r8d,0.06666666666666667,2.5967916319816364
3,Right Operand,%ecx,0.06666666666666667,2.5967916319816364
3,Right Operand,%rdi,0.06666666666666667,2.5967916319816364
3,Right Operand,%ebp,0.06666666666666667,2.5967916319816364
4,Instruction,cmp,0.09090909090909091,2.913977073182752
4,Instruction,ret,0.09090909090909091,2.913977073182752
4,Instruction,jmp,0.09090909090909091,2.913977073182752
4,Instruction,je,0.18181818181818182,2.913977073182752
4,Instruction,nopl,0.18181818181818182,2.913977073182752
4,Instruction,test,0.09090909090909091,2.913977073182752
4,Instruction,mov,0.09090909090909091,2.913977073182752
4,Instruction,lea,0.18181818181818182,2.913977073182752
4,Left Operand,,0.09090909090909091,3.0957952550009344
4,Left Operand,1148 <deregister_tm_clones+0x28>,0.18181818181818182,3.0957952550009344
4,Left Operand,0x2f32(%rip),0.09090909090909091,3.0957952550009344
4,Left Operand,0x0(%rax),0.18181818181818182,3.0957952550009344
