Block_ID_1,Block_ID_2,Similarity
1,2,13.98229052298882
1,3,14.40445925617312
1,4,11.344934974865927
1,5,11.49236271254162
1,6,8.926973523468808
1,7,19.73398479515826
1,8,8.675102597650376
2,3,36.180680877574574
2,4,41.1581694575961
2,5,41.248264185165525
2,6,11.195649890024335
2,7,41.012424607408946
2,8,25.843526991468853
3,4,33.93770158598671
3,5,29.908464123385414
3,6,27.960512048385574
3,7,33.93770158872545
3,8,25.694521309134686
4,5,28.523706073104165
4,6,34.018120779703324
4,7,28.009146988055956
4,8,39.51253550924305
5,6,22.664460715542766
5,7,26.441870836610647
5,8,22.515380086747918
6,7,27.84119622061608
6,8,18.365268384007337
7,8,52.72386408452785
